name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
Adzuki Butternut Squash Soup Recipe,"2 tablespoons olive oil
1 teaspoon cinnamon
1 teaspoon (dried) coriander
2 teaspoons finely chopped chipotle pepper (from can, or rehydrated from dried chile)
2 teaspoons fine grain sea salt
2 medium-large onions
6 cloves garlic, minced
4 cups butternut squash, peeled and cut into 1/4-inch dice
5 - 6 cups water
5 whole canned tomatoes, chopped
4 cups cooked or canned adzuki beans
cilantro drizzle (optional)*",http://www.101cookbooks.com/archives/adzuki-butternut-squash-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/adzuki_butternut_squash_soup.jpg,,Serves about 8.,2009-02-11,,A hearty adzuki and butternut squash soup recipe adapted from Jae Steele's Get It Ripe cookbook. The soup has a bit of chipotle flavor and is made even better with a drizzle of cilantro olive oil prior to serving.,Unknown
Carrot Soup Recipe,"1 1/4 pounds carrots
1 tablespoon extra-virgin olive oil (or clarified butter)
2 medium cloves garlic, minced
1 large yellow onion, chopped
3 cups+ vegetable stock or water
juice of 1/2 a lemon
fine grain sea salt (as much as you need)
- olive oil, toasted sesame oil, or red chile oil for a finishing drizzle - if you use toasted sesame oil (sometimes labeled pure sesame oil) it is very strong. I typically dilute it with olive oil. I use one part sesame oil to four parts olive oil.",http://www.101cookbooks.com/archives/carrot-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/carrot_soup_recipe.jpg,,Serves about 4.,2009-04-08,,"A simple, weeknight carrot soup recipe finished with a thread of toasted sesame oil. You can leave it slightly chunky, or puree it until smooth - whatever your preference.",Unknown
Fresh Pea Salad Recipe,"1 cup fresh mint leaves
2 dried dates, pitted
1/2 of a small serrano chile, stem removed
a squeeze of fresh lemon juice and zest from that lemon
1 1/2 cups fresh peas
1 small head of romaine lettuce, cut into shreds
1/2 cup toasted pumpkin seeds
fine grain sea salt",http://www.101cookbooks.com/archives/fresh-pea-salad--recipe.html,http://www.101cookbooks.com/mt-static/images/food/fresh_pea_salad_recipe.jpg,,Serves 2 - 4.,2009-04-22,,"A pea salad jazzed up with spicy mint-date dressing and tossed with shredded romaine and toasted pumpkin seeds for crunch and texture. A tasty, off-beat, almost burner-free recipe.",Unknown
Green Curry Broth,"1 tablespoon coriander seeds
1 1/2 teaspoon whole cumin seeds
2 tablespoons coconut oil, clarified butter, or olive oil
4 shallots, thinly sliced
4 medium garlic cloves, finely chopped
4 small serrano chile peppers, thinly sliced (see head notes)
3 lemongrass stalks, minced (see head notes!)
a 1 1/2-inch piece of ginger, peeled then grated
8 green onions, trimmed, thinly sliced
1/8 teaspoon turmeric powder
1/4 cup / 60 ml freshly squeezed lime juice &amp; a bit of zest
6 - 7 cups / 1.5 liters / 1.5 quarts good-tasting vegetable broth
12 ounces / 340 g tofu, cut into tiny cubes 
OR 
6 oz tofu cubes + 6 oz yuba skins, cut into thin strips
kernels from 2 ears of corn
4 handfuls of torn spinach, stems trimmed
a small handful of each of the following: fresh mint, fresh cilantro, fresh basil, all chopped just before serving and combined in a small bowl",http://www.101cookbooks.com/archives/green-curry-broth-recipe.html,http://www.101cookbooks.com/mt-static/images/food/green_curry_broth_recipe.jpg,15,Serves 4.,2010-08-24,20,"A beautiful, thin green curry broth, fragrant with garlic, lemongrass, and ginger. It gets heat from serrano chiles, and zings of tanginess from fresh lime juice. Cumin and coriander seeds keep things grounded, and a flurry of freshly chopped herbs make the sky open up.",Medium
Zucchini Pickles,"3 medium zucchini (1 pound / 16 oz / 450 g), thinly sliced 
1 medium white onion, thinly sliced 
3 shallots, thinly sliced
 1 1/2 tablespoons fine grain sea salt
 1/4 cup (small handful) fresh dill sprigs
1 small fresh red chile pepper, very thinly sliced
1/2 tablespoon yellow mustard seeds
 3/4 cup / 180 ml cider vinegar 
3/4 cup / 180 ml white wine vinegar 
1/3 cup / 1.75 oz / 50g natural cane sugar",http://www.101cookbooks.com/archives/quick-pickled-zucchini-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pickled_zucchini_recipe.jpg,5,Makes one large jar.,2010-09-08,120,"I've been making these coin-shaped zucchini pickles all summer. They're quick to make, great to have on hand, and I don't bother canning them. Delicious on crusty, goat-cheese slathered grilled bread (or just about anything cheesy or crunchy) and simple salads.",Hard
Spiced Cauliflower with Sesame Seeds,"1 1/2 tablespoons extra-virgin olive oil or clarified butter
1 teaspoon cumin seeds
2 medium yellow onions, finely sliced
a pinch of turmeric
fine grain sea salt
1 medium / 12 oz cauliflower, thinly sliced 
4 dried red chiles, stemmed and halved
1-2 teaspoon sesame seeds, lightly toasted
1 garlic clove, grated
4 cm / 1 1/2-inch piece of fresh ginger, peeled and finely grated
1-2 green jalapeno chiles, seeds removed, finely chopped
2-3 tablespoons chopped fresh cilantro / coriander",http://www.101cookbooks.com/archives/spicy-cauliflower-with-sesame-recipe.html,http://www.101cookbooks.com/mt-static/images/food/spicy_cauliflower_recipe.jpg,15,,2010-11-10,20,"Cauliflower tastes great like this. Imagine a skillet of caramelized onions cooked down with fragrant cumin, ginger, garlic, sesame seeds and chiles. Add cauliflower and cook until tender. Vibrant, spicy, sweet earthiness, all on one plate.",Medium
Green Pea Soup Recipe,"3 tablespoons fresh ginger, well chopped
10 sm-med cloves garlic, smashed and peeled
2 serrano chiles, stemmed and chopped
1/4 teaspoon ground cumin, plus more to serve
3 tablespoons ghee or sunflower oil
2 bay leaves
1 medium onion, chopped
4 1/2 cups good-tasting vegetable stock or water
3 1/2 cups / 500 g / 18 oz shelled fresh or frozen peas
1 teaspoon sea salt, or to taste
a squeeze of fresh lemon juice
8 fresh mint leaves, slivered
pan-fried paneed, queso fresco, or haloumi, cut into tiny cubes - optional",http://www.101cookbooks.com/archives/green-pea-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pea_soup_recipe.jpg,10,Serves 4 - 6.,2011-05-31,7,"A simple Indian-spiced green pea soup, and a few snapshots of things I'm bringing with me in a move up the street.",Easy
Spicy Lemon Coconut Sauce,"1 clove garlic, peeled
1 medium jalapeno (or serrano) chile, deseeded and chopped
1/2 teaspoon fine grain sea salt, plus more to taste
1 tablespoons sunflower oil
1 small bunch of scallions, thinly sliced (~8 scallions)
1/2 cup finely chopped cilantro
1 14-ounce can of coconut milk (full fat)
3 tablespoons freshly squeezed lemon juice, plus more to taste",http://www.101cookbooks.com/archives/spicy-lemon-coconut-sauce-recipe.html,http://www.101cookbooks.com/mt-static/images/food/spicy_lemon_coconut_sauce.jpg,,Makes about 2 1/2 cups.,2012-04-27,5,"A spicy lemon coconut sauce that is good on just about everything - noodles, frittatas, soups. Keep a jar in the refrigerator, and you can use it to make things a little special throughout the week.",Easy
Yellow Bean Salad,"1 pound / 16 oz yellow runner beans
1 serrano chile, stemmed and seeded
5 green onions, green parts trimmed &amp; reserved
a big handful of cilantro
1 clove garlic, peeled and smashed
3/4 teaspoon fine grain sea salt
1 tablespoon sunflower oil
1 cup coconut milk, well mixed
1- 2 tablespoons freshly squeezed lemon juice, or to taste
2 big handfuls / 1/2 cup toasted pepitas
1 1/2 cups tiny pan-fried tofu cubes, optional
basil flower garnish, optional",http://www.101cookbooks.com/archives/yellow-bean-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/yellow_bean_salad_recipe.jpg,10,,2012-08-19,10,"A summer yellow bean salad with a green chile-spiked, cilantro-flecked, and coconut milk dressing, toasted pepitas, and (if you want to make a meal of it) pan-fried tofu.",Easy
New Year Noodle Soup,"2 tablespoons olive oil
1 onion, thinly sliced
1 long red chili OR green serrano, finely chopped
1/2 teaspoon ground turmeric
1 teaspoon ground cumin
1/4 teaspoon freshly ground black pepper
8 1/2 cups / 2 liters good-tasting vegetable stock/broth
100g / 3.5 oz yellow split peas or brown lentils
1 1/2 cups cooked chickpeas, rinsed if using canned
2 cups / 350g cooked borlotti beans
fine grain sea salt
120 g thin egg noodles, fresh or dried
3 1/2 oz / 100g fresh spinach leaves, finely shredded
1/2 cup finely shredded cilantro leaves
2 tablespoons chopped fresh dill
juice of one lime
Toppings:
1 tablespoon olive oil
1 tablespoon unsalted butter
1 large onion, thinly sliced
100 ml sour cream or creme fraiche
50g / scant 2 ounces of toasted, chopped walnuts",http://www.101cookbooks.com/archives/new-year-noodle-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/newyear_noodle_soup_recipe_xl.jpg,40,,2011-01-01,20,"An amazing New Year Noodle Soup from Greg &amp; Lucy Malouf's beautiful book, Saraban. It's a bean and noodle soup at its core featuring thin egg noodles swimming in a fragrant broth spiced with turmeric, cumin, chiles, and black pepper. You use a medley of lentils, chickpeas, and borlotti beans which makes the soup heart and filling without being heavy. You add spinach, dill, and cilantro. You add lime juice for a bit of sour at the end. And then you've got a number of toppings to add when you serve the soup - chopped walnuts, caramelized onions, and sour cream. Amazing.",Unknown
Moroccan Mint Roasted Vegetables,"1 lb / 16 oz / 450 g mix of potatoes, cauliflower, and a few radishes (save the tops)
1 1/2 teaspoons dried mint
1/2 teaspoon red chile pepper flakes
1/2 teaspoon cumin seeds
1/2 teaspoon fine grain sea salt
1 teaspoon ground cumin
1/2 teaspoon cinnamon
1 teaspoon ground ginger
4 tablespoons extra virgin olive oil
a squeeze of fresh lemon juice
toppings: fresh mint, toasted sesame and/or pumpkin seeds, plain yogurt (seasoned with a bit of salt)",http://www.101cookbooks.com/archives/moroccan-mint-roasted-vegetables-recipe.html,http://www.101cookbooks.com/mt-static/images/food/moroccan_vegetables.jpg,15,Serves 4.,2012-02-22,5,"A few snapshots from my week in Marrakesh, Morocco + the recipe for a platter of roasted vegetables spiced with dried mint, cumin, ginger, cinnamon, and a kiss of chile. So good with a dollop of salted yogurt and a sprinkle of toasted sesame seeds.",Easy
A Simple Tomato Soup,"4 tablespoons unsalted butter, olive oil, or coconut oil
2 medium yellow onions, thinly sliced
1 teaspoon fine grain sea salt, plus more to taste
3 teaspoons curry powder
1 teaspoon ground coriander
1 teaspoon ground cumin
1/2 teaspoon chile flakes
2 (28-ounce) cans whole tomatoes (pref. fire-roasted)
1 14-ounce can coconut milk
to serve: any of the following that sound good to you - cooked brown rice, lemon wedges, toasted almond slices, pan-fried paneer, fresh thyme or oregano, oregano drizzle, a poached egg",http://www.101cookbooks.com/archives/a-simple-tomato-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/brothy_tomato_soup_recipe.jpg,25,,2012-03-06,5,"A simple tomato soup recipe inspired by a Melissa Clark recipe - pureed, warmly spiced, and perfect topped with everything from toasted almonds and herbs, to coconut cream or a poached egg.",Unknown
Broccolini Salad,"1 lb / 16 oz / 450 g  baby broccoli / broccolini, trimmed, and each stalk halved if you like
3 bunches scallions, trimmed and thinly sliced
1 small serrano chile pepper, deveined, seeded and minced (opt)
1/2 cup / 120 ml extra virgin olive oil
fine grain sea salt
3 big handfuls of big, rustic croutons
a squeeze of fresh lemon juice.
1 cup / 4 oz / 115 g sliced almonds, toasted
4 - 6 oz fresh mozzarella cheese, torn into big chunks",http://www.101cookbooks.com/archives/broccolini-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/broccolini_salad_recipe.jpg,10,Serves 4 - 6.,2012-04-05,10,"Big bowl of green - broccolini tossed with big croutons, tons of scallion slices, mozzarella, toasted almonds, and a hit of serrano pepper.",Easy
Pumpkin and Rice Soup,"2 tablespoons unsalted butter
1 medium onion, chopped
1 large shallot, chopped
1/2 serrano chile, seeds and all, chopped
fine grain sea salt
1 1/2 pounds pumpkin/squash flesh, seeded, peeled, and cut into 3/4-inch chunks
1 teaspoon fresh ginger juice, pressed from grated ginger
cooked brown rice, warm
other toppings: plain yogurt, toasted pepitas, lemon ginger rosemary butter* (and pulp)",http://www.101cookbooks.com/archives/pumpkin-and-rice-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pumpkin_rice_soup.jpg,25,Serves 4-6.,2012-10-27,10,The pumpkin soup I made as soon as I got home from India - with an herby butter drizzle and lemon ginger pulp. And some pictures of a photo session on the street in Jaipur.,Medium
Posole in Broth,"1 lb / 2 1/2 cups dried posole / hominy
1 medium white or yellow onion
5 cups great-tasting broth (see head note)
1 serrano chile, seeded and minced
2 cups / 12 ounces cooked mung beans, optional**
1 bunch of scallions, trimmed and shredded
To serve: chopped olives, sliced avocado, sprouts or micro greens, toasted sliced almonds, and/or a drizzle of olive or lemon oil.",http://www.101cookbooks.com/archives/posole-in-broth-recipe.html,http://www.101cookbooks.com/mt-static/images/food/posole_in_broth_recipe.jpg,70,Serves 6-8.,2013-01-01,10,"Posole for the new year - it has a vegetable broth base, lots of blossoming corn kernels, avocado and mung beans. Topped with chopped olives and toasted almonds it's A+...",Hard
Brazil Nut Butter Cups Recipe,"1 1/2 cups Brazil nuts, loosely chopped
1 teaspoon macadamia nut oil (optional)
2/3 cup organic powdered sugar (I use Wholesome Sweeteners brand)
~1/2 teaspoon finely ground sea salt
a couple pinches of chile powder (opt)
1 9.7-ounce bar of Scharffen Berger bittersweet chocolate, finely chopped
Special equipment: chocolate molds, piping bag.",http://www.101cookbooks.com/archives/001371.html,http://www.101cookbooks.com/mt-static/images/food/brazilnutbuttercups1.jpg,,,2006-03-18,,A twist on the traditional peanut butter cup. It uses all-natural ingredients and instead of peanut butterthe chocolate shell envelopes Brazil nut butter.,Unknown
Baked Egg Recipe,"2-3 tablespoons extra virgin olive oil
3 big pinches ground cumin
2 big pinches chili flakes
2 big pinches smoked paprika
2 big pinches fine sea salt
1 cup spring (or regular) onion, chopped
1 clove garlic, chopped
1 cup cherry tomatoes, halved or quartered
2 pieces of pita bread, cut into quarters
6 large organic eggs
Garnish: finely chopped tomatoes, chile flakes, cilantro (optional)
Special equipment: standard 12 muffin tin",http://www.101cookbooks.com/archives/baked-eggs-recipe.html,http://www.101cookbooks.com/mt-static/images/food/bakedeggrecipe_07.jpg,,Makes six egg cups.,2007-05-18,,"Baked eggs in edible cups with cherry tomatoes, garlic, olive oil and  lots of vibrant spices.",Unknown
A Tasty Frittata Recipe,"Cilantro Chile Sauce
2 large cloves garlic
1/2 cup extra virgin olive oil
2 tablespoons lemon juice, freshly squeezed
1 small bunch cilantro
1 green (serrano) chile, seeds removed
2 pinches ground cumin
 a couple big pinches of salt 
Frittata
6 large organic eggs
1 tablespoon olive oil
1 small yellow onion, chopped
3 small potatoes, very very thinly sliced
1/2 cup yellow zucchini or cauliflower,1/2-inch pieces
1/4 cup goat cheese, crumbled
1/4 cup pumpkin seeds, toasted 
couple pinches of salt",http://www.101cookbooks.com/archives/a-tasty-frittata-recipe.html,http://www.101cookbooks.com/mt-static/images/food/frittatarecipe_07.jpg,,Serves 2 to 4.,2007-12-20,,"The prettiest, tastiest, frittata recipe. Made with potatoes, onions, and eggs drizzled with a cilantro chile sauce. ",Unknown
Spiced Candied Walnuts Recipe,"Peanut or canola oil for deep-frying (hs note: has anyone seen an organic peanut oil out there?)
Finely ground sea salt, preferably gray salt 
Freshly ground black pepper 
1/2 teaspoon ground cinnamon 
1/2 teaspoon cayenne pepper 
4 cups walnut halves 
1 cup confectioners' sugar, sifted
2 cans (15 1/2 ounces each) chickpeas (garbanzo beans) 
3/4 cup buttermilk
3/4 cup olive oil
1 1/2 cups 1Arborio Rice Coating (below)
1/4 cup thinly sliced garlic 
15 fresh sage leaves
2 teaspoons thin serrano chili slices (optional) 
Finely ground sea salt, preferably gray salt 
Zest of 1 lemon, cut into julienne 
Freshly ground black pepper
1 cup Arborio rice 
3 cups unbleached all-purpose flour 
1 cup semolina flour 
2 tablespoons finely ground sea salt, preferably gray salt 
1 teaspoon freshly ground black pepper ",http://www.101cookbooks.com/archives/001033.html,http://www.101cookbooks.com/mt-static/images/food/candiedwalnutrecipe.jpg,,Makes 4 cups.Makes about 5 cups.,2005-12-30,,"This candied walnut recipe was is the perfect solution to a New Years Eve hors d'oeuvres dilemma. Made with walnuts, sea salt, black pepper, cinnamon, cayenne pepper, and powdered sugar.",Unknown
Monica Bhide's Chile Pea Puffs,"nonstick cooking spray (HS note: or a bit of olive oil)
1 cup cooked green peas, lightly mashed
1/4 cup crumbled paneer
2 small green serrano chiles, minced (remove seeds to reduce heat)
1/4 teaspoon salt to start
1/4 teaspoon red chile powder or red chile flakes (less to reduce heat)
1/2 teaspoon minced garlic
32 wonton wrappers
1 egg white, lightly beaten",http://www.101cookbooks.com/archives/monica-bhides-chile-pea-puffs-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pea_puff_recipe.jpg,,Makes 32 puffs.,2009-04-29,,"Monica Bhide's Chile Pea Puff recipe - crispy-skinned baked snacks stuffed with peas, paneer cheese, chiles, and garlic. From her new cookbook - Modern Spice: Inspired Indian Flavors for the Contemporary Kitchen.",Unknown
Golden Potstickers,"1/2 cup sunflower oil
8 green onions / scallions, white and green parts, thinly sliced
1 small serrano chiles, thinly sliced, or to taste
1 1/2 tablespoons sugar
1/4 cup / 60 ml soy sauce 
1/4 cup / 60 ml water
4 tablespoons sunflower oil, plus more for pan-frying
1/2 cup chopped shallots (4 medium)
1/2 teaspoon fine grain sea salt, or to taste
2 cups / 11 oz / 310 g cooked yellow split peas, ideally at room temperature, then process in a food processor until uniform and fluffy
1 package round potsticker wrappers",http://www.101cookbooks.com/archives/golden-potstickers-recipe.html,http://www.101cookbooks.com/mt-static/images/food/potsticker_recipe.jpg,10,Makes a big platter of dumplings.,2011-10-05,60,"Potstickers - For my flight to London,  I made the filling with lots of caramelized shallots &amp; pureed yellow split peas then pan-fried them until the bottoms were crisp and golden. They freeze like beautifully, perfect for quick dumpling-centric meals later on.",Hard
